Number,FileName,Value,Digits,Length,Width,Height,Box
1,1.png,19,"[1, 9]",2,741,350,"[246, 77, 419, 300]"
2,2.png,23,"[2, 3]",2,199,83,"[77, 25, 124, 61]"
3,3.png,25,"[2, 5]",2,52,23,"[17, 5, 34, 20]"
4,4.png,93,"[9, 3]",2,161,79,"[57, 13, 85, 47]"
5,5.png,31,"[3, 1]",2,140,68,"[52, 7, 89, 56]"
6,6.png,33,"[3, 3]",2,74,35,"[28, 6, 49, 29]"
7,7.png,28,"[2, 8]",2,99,54,"[35, 10, 60, 43]"
8,8.png,744,"[7, 4, 4]",3,54,22,"[17, 3, 38, 19]"
9,9.png,128,"[1, 2, 8]",3,79,34,"[19, 4, 55, 29]"
10,10.png,16,"[1, 6]",2,74,37,"[25, 4, 48, 33]"
11,11.png,23,"[2, 3]",2,63,33,"[22, 4, 42, 31]"
12,12.png,63,"[6, 3]",2,171,87,"[67, 16, 110, 72]"
13,13.png,42,"[4, 2]",2,128,58,"[44, 12, 81, 46]"
14,14.png,58,"[5, 8]",2,112,53,"[35, 2, 78, 44]"
15,15.png,16,"[1, 6]",2,66,32,"[22, 7, 43, 28]"
16,16.png,23,"[2, 3]",2,60,25,"[20, 1, 33, 22]"
17,17.png,79,"[7, 9]",2,71,31,"[23, 4, 47, 26]"
18,18.png,53,"[5, 3]",2,161,78,"[52, 12, 101, 58]"
19,19.png,222,"[2, 2, 2]",3,61,24,"[19, 1, 43, 20]"
20,20.png,62,"[6, 2]",2,64,27,"[20, 1, 43, 26]"
21,21.png,2,[2],1,191,101,"[72, 6, 124, 91]"
22,22.png,515,"[5, 1, 5]",3,81,28,"[24, 4, 51, 21]"
23,23.png,47,"[4, 7]",2,104,42,"[29, 5, 74, 37]"
24,24.png,89,"[8, 9]",2,445,181,"[233, 56, 269, 93]"
25,25.png,601,"[6, 0, 1]",3,190,75,"[60, 7, 134, 61]"
26,26.png,24,"[2, 4]",2,100,47,"[34, 7, 62, 40]"
27,27.png,56,"[5, 6]",2,142,64,"[46, 8, 100, 56]"
28,28.png,52,"[5, 2]",2,87,47,"[31, 7, 52, 41]"
29,29.png,132,"[1, 3, 2]",3,119,48,"[43, 13, 71, 32]"
30,30.png,14,"[1, 4]",2,54,27,"[16, 1, 36, 26]"
31,31.png,638,"[6, 3, 8]",3,60,21,"[14, 1, 47, 20]"
32,32.png,43,"[4, 3]",2,121,63,"[48, 16, 85, 52]"
33,33.png,14,"[1, 4]",2,91,44,"[27, 5, 60, 38]"
34,34.png,42,"[4, 2]",2,111,52,"[41, 9, 78, 45]"
35,35.png,6,[6],1,57,24,"[25, 5, 32, 19]"
36,36.png,44,"[4, 4]",2,122,62,"[50, 8, 96, 56]"
37,37.png,11,"[1, 1]",2,73,30,"[24, 2, 49, 24]"
38,38.png,17,"[1, 7]",2,233,104,"[87, 22, 145, 85]"
39,39.png,31,"[3, 1]",2,150,76,"[62, 19, 83, 60]"
40,40.png,20,"[2, 0]",2,178,84,"[61, 9, 121, 78]"
41,41.png,42,"[4, 2]",2,103,54,"[38, 9, 63, 45]"
42,42.png,251,"[2, 5, 1]",3,287,114,"[110, 27, 185, 87]"
43,43.png,29,"[2, 9]",2,235,96,"[87, 20, 145, 75]"
44,44.png,204,"[2, 0, 4]",3,72,36,"[19, 3, 47, 29]"
45,45.png,10,"[1, 0]",2,91,41,"[35, 3, 56, 35]"
46,46.png,327,"[3, 2, 7]",3,437,202,"[136, 18, 310, 191]"
47,47.png,24,"[2, 4]",2,42,20,"[14, 1, 25, 17]"
48,48.png,46,"[4, 6]",2,205,86,"[74, 17, 132, 70]"
49,49.png,817,"[8, 1, 7]",3,221,77,"[65, 15, 160, 63]"
50,50.png,103,"[1, 0, 3]",3,168,68,"[58, 17, 110, 53]"
51,51.png,91,"[9, 1]",2,120,63,"[47, 7, 75, 54]"
52,52.png,35,"[3, 5]",2,145,58,"[45, 11, 102, 50]"
53,53.png,93,"[9, 3]",2,392,149,"[160, 18, 260, 118]"
54,54.png,11,"[1, 1]",2,126,66,"[36, 8, 77, 55]"
55,55.png,1137,"[1, 1, 3, 7]",4,223,79,"[116, 26, 168, 64]"
56,56.png,56,"[5, 6]",2,67,28,"[22, 3, 44, 24]"
57,57.png,215,"[2, 1, 5]",3,163,77,"[63, 12, 102, 63]"
58,58.png,11,"[1, 1]",2,128,59,"[45, 2, 82, 52]"
59,59.png,2,[2],1,89,48,"[35, 3, 54, 45]"
60,60.png,47,"[4, 7]",2,48,21,"[16, 1, 32, 21]"
61,61.png,5,[5],1,69,34,"[33, 6, 42, 25]"
62,62.png,32,"[3, 2]",2,129,60,"[45, 6, 86, 54]"
63,63.png,43,"[4, 3]",2,253,109,"[96, 23, 169, 90]"
64,64.png,29,"[2, 9]",2,75,33,"[26, 3, 53, 30]"
65,65.png,58,"[5, 8]",2,70,31,"[25, 6, 48, 28]"
